Date,Open,High,Low,Close,Adj Close,Volume
2023-07-11,19857.599609,19882.500000,19820.699219,19878.599609,19878.599609,190110200
2023-07-12,19957.300781,20092.699219,19938.099609,20070.800781,20070.800781,221857300
2023-07-13,20119.800781,20294.300781,20119.800781,20277.599609,20277.599609,206193800
2023-07-14,20311.000000,20336.599609,20234.199219,20262.099609,20262.099609,196626900
2023-07-17,20231.800781,20256.800781,20192.599609,20226.800781,20226.800781,205999200
2023-07-18,20252.500000,20380.000000,20243.900391,20376.599609,20376.599609,248005400
2023-07-19,20401.500000,20497.400391,20401.500000,20491.199219,20491.199219,184128300
2023-07-20,20487.800781,20507.400391,20412.400391,20436.900391,20436.900391,190154700
2023-07-21,20488.300781,20562.000000,20479.300781,20547.500000,20547.500000,192841400
2023-07-24,20573.699219,20623.900391,20551.500000,20582.099609,20582.099609,192374100
2023-07-25,20590.199219,20612.199219,20543.500000,20551.500000,20551.500000,197296500
2023-07-26,20514.800781,20596.199219,20492.400391,20561.599609,20561.599609,208307300
2023-07-27,20603.500000,20610.599609,20370.500000,20385.500000,20385.500000,200254200
2023-07-28,20472.400391,20578.400391,20449.500000,20519.400391,20519.400391,201665100
2023-07-31,20541.800781,20677.300781,20541.800781,20626.599609,20626.599609,224123400
2023-08-01,20570.599609,20585.900391,20468.699219,20532.900391,20532.900391,188166500
2023-08-02,20423.500000,20423.500000,20148.199219,20218.199219,20218.199219,220650100
2023-08-03,20163.800781,20163.800781,20077.500000,20120.699219,20120.699219,191898700
2023-08-04,20155.900391,20356.599609,20146.400391,20236.000000,20236.000000,217548900
2023-08-08,20187.800781,20223.599609,20089.900391,20206.000000,20206.000000,227909500
2023-08-09,20230.199219,20317.199219,20211.800781,20275.300781,20275.300781,188600200
2023-08-10,20353.400391,20444.599609,20279.699219,20342.900391,20342.900391,209810300
2023-08-11,20300.500000,20415.000000,20293.500000,20407.599609,20407.599609,164371100
2023-08-14,20337.699219,20338.800781,20237.900391,20290.500000,20290.500000,194938800
2023-08-15,20190.199219,20190.199219,19888.300781,19899.800781,19899.800781,216307200
2023-08-16,19857.300781,19965.699219,19852.000000,19899.099609,19899.099609,191254000
2023-08-17,19956.400391,20008.900391,19792.500000,19812.199219,19812.199219,167615100
2023-08-18,19746.300781,19845.300781,19683.900391,19818.400391,19818.400391,174024900
2023-08-21,19837.599609,19875.699219,19733.500000,19784.900391,19784.900391,201363500
2023-08-22,19820.400391,19820.400391,19675.099609,19691.199219,19691.199219,162812800
2023-08-23,19718.800781,19907.300781,19713.500000,19879.800781,19879.800781,184846600
2023-08-24,19862.000000,19900.900391,19775.800781,19775.800781,19775.800781,180708000
2023-08-25,19838.099609,19883.599609,19681.800781,19835.800781,19835.800781,147497500
2023-08-28,19900.300781,20038.599609,19900.300781,20025.099609,20025.099609,161416000
2023-08-29,20014.300781,20290.800781,19999.599609,20290.400391,20290.400391,175093600
2023-08-30,20319.400391,20403.400391,20309.400391,20330.300781,20330.300781,149122100
2023-08-31,20392.699219,20426.699219,20286.599609,20292.599609,20292.599609,295670100
2023-09-01,20398.800781,20575.400391,20398.800781,20545.400391,20545.400391,208562600
2023-09-05,20521.400391,20546.400391,20412.900391,20413.800781,20413.800781,207766100
2023-09-06,20375.099609,20375.099609,20181.599609,20227.000000,20227.000000,203759200
2023-09-07,20175.599609,20224.699219,20119.400391,20132.099609,20132.099609,229427100
2023-09-08,20118.800781,20161.099609,20066.400391,20074.699219,20074.699219,161860900
2023-09-11,20117.699219,20222.900391,20096.900391,20182.800781,20182.800781,182505900
2023-09-12,20154.300781,20267.900391,20154.300781,20223.099609,20223.099609,204613300
2023-09-13,20228.800781,20298.699219,20202.699219,20278.900391,20278.900391,203489100
2023-09-14,20370.400391,20576.500000,20370.400391,20567.800781,20567.800781,240479500
2023-09-15,20558.500000,20652.199219,20534.500000,20622.300781,20622.300781,511260500
2023-09-18,20592.800781,20598.599609,20449.099609,20492.800781,20492.800781,209947200
2023-09-19,20447.699219,20447.699219,20203.300781,20218.900391,20218.900391,204462900
2023-09-20,20238.300781,20351.500000,20214.400391,20214.699219,20214.699219,168205300
2023-09-21,20115.000000,20115.000000,19791.599609,19791.599609,19791.599609,234089500
2023-09-22,19852.099609,19898.900391,19769.300781,19780.000000,19780.000000,175034100
2023-09-25,19733.699219,19850.199219,19671.800781,19800.599609,19800.599609,223278100
2023-09-26,19729.099609,19774.699219,19555.500000,19556.199219,19556.199219,232673700
2023-09-27,19590.400391,19633.400391,19341.400391,19436.000000,19436.000000,234124200
2023-09-28,19424.199219,19629.000000,19409.599609,19590.699219,19590.699219,212463200
2023-09-29,19671.300781,19707.599609,19529.900391,19541.300781,19541.300781,244108100
2023-10-02,19520.900391,19520.900391,19145.300781,19177.199219,19177.199219,240239600
2023-10-03,19094.599609,19125.900391,18945.800781,19020.900391,19020.900391,227841300
2023-10-04,19017.699219,19052.199219,18847.099609,19034.800781,19034.800781,215488300
2023-10-05,18999.500000,19157.500000,18997.800781,19137.800781,19137.800781,191165600
2023-10-06,19079.599609,19283.800781,18907.599609,19246.099609,19246.099609,171571500
2023-10-10,19304.099609,19573.000000,19304.099609,19501.199219,19501.199219,211061100
2023-10-11,19557.500000,19669.599609,19541.699219,19663.800781,19663.800781,203638900
2023-10-12,19673.599609,19702.099609,19410.500000,19500.199219,19500.199219,149020600
2023-10-13,19620.500000,19659.099609,19435.000000,19462.900391,19462.900391,178223300
2023-10-16,19498.099609,19643.099609,19426.900391,19620.800781,19620.800781,192172100
2023-10-17,19561.599609,19768.599609,19552.199219,19692.800781,19692.800781,195977300
2023-10-18,19670.099609,19670.099609,19434.300781,19450.699219,19450.699219,189308900
2023-10-19,19448.599609,19505.199219,19327.099609,19348.800781,19348.800781,193909500
2023-10-20,19309.500000,19309.500000,19115.599609,19115.599609,19115.599609,200966000
2023-10-23,19042.900391,19193.400391,18937.599609,19046.699219,19046.699219,194662500
2023-10-24,19091.199219,19139.199219,18952.199219,18986.500000,18986.500000,191869600
2023-10-25,18929.699219,19090.800781,18922.400391,18947.900391,18947.900391,182306500
